,代號,名稱,股東權益(億),每股淨值(元)
777,3432,台端,15.9,23.91
778,9943,好樂迪,35.4,23.91
779,1725,元禎,43.3,23.84
780,2338,光罩,48.7,23.82
781,2070,精湛,8.51,23.79
782,1304,台聚,556,23.75
783,6441,廣錠,12.8,23.74
784,6263,普萊德,14.8,23.73
785,6516,勤崴國際,9.98,23.73
786,6674,鋐寶科技,16.2,23.73
787,4541,晟田,16,23.7
788,3687,歐買尬,15.1,23.64
789,6629,泰金-KY,8.42,23.61
790,8342,益張,8.2,23.61
791,2736,富野,11.6,23.58
792,4967,十銓,23.5,23.49
793,2608,嘉里大榮,115,23.45
794,3540,曜越,16.9,23.42
795,4807,日成-KY,10.1,23.42
796,3056,總太,49.4,23.39
797,5603,陸海,19.5,23.39
798,8905,裕國,27,23.38
799,8284,三竹,10.8,23.35
800,6593,台灣銘板,4.74,23.34
801,3684,榮昌,5.73,23.3
802,1515,力山,42.5,23.28
803,2483,百容,25.5,23.27
804,3045,台灣大,733,23.23
805,8444,綠河-KY,20.5,23.21
806,3652,精聯,17.4,23.19
807,9930,中聯資源,59.8,23.18
808,6292,迅德,10.8,23.16
